Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,SF CLUB,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
2,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,.7M CAL,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,BATT 1,146.415000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
5,BATT 3,146.460000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
6,BATT 4,146.550000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
7,BATT 6,147.585000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
8,BATT 9,146.505000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
9,MURS B,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,MURS G,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,GMRS 1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,GMRS 2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,GMRS 3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,GMRS 4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,GMRS 5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,GMRS 6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,GMRS 7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,GMRS 8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,FRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
20,FRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
21,FRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
22,FRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,FRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
24,FRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,FRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
26,FRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
27,FRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
28,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
29,2M CM A,146.400000,,0.000000,TSQL,94.8,94.8,023,NN,FM,5.00,,,,,,
30,2M CM B,145.535000,,0.000000,Tone,165.5,88.5,023,NN,FM,5.00,,,,,,
31,2M CM C,147.450000,,0.000000,TSQL,196.6,196.6,023,NN,FM,5.00,,,,,,
32,2M CM D,146.460000,,0.000000,TSQL,110.9,110.9,023,NN,FM,5.00,,,,,,
33,2M CM E,146.595000,,0.000000,Tone,179.9,88.5,023,NN,FM,5.00,,,,,,
34,2M CM F,147.585000,,0.000000,DTCS,88.5,88.5,223,NN,FM,5.00,,,,,,
35,2M CM G,445.925000,,0.000000,Tone,206.5,88.5,023,NN,FM,5.00,,,,,,
36,2M CM H,442.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,2M CM I,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,WA6KQB,145.110000,-,0.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
39,K6GWE,147.330000,+,0.600000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
40,K6EAG,145.130000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
41,W6PW,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
42,KB6LED,145.290000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
43,WA6HAM,145.490000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
44,KM6EF,146.610000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
45,W6BUR,146.670000,-,0.600000,Tone,85.4,88.5,023,NN,FM,5.00,,,,,,
46,K6GWE,146.700000,-,0.600000,Tone,179.9,88.5,023,NN,FM,5.00,,,,,,
47,K6BW,146.775000,-,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
48,W6TP,146.790000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
49,KC6ULT,146.865000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
50,WB6NDJ,146.880000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
51,WA6TOW,146.925000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
52,WB6BDD,147.030000,+,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
53,WB6CKT,147.090000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
54,WB6TCS,147.210000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
55,W6RGG,147.240000,+,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
56,N6MPX,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
57,K6GWE,146.700000,-,0.600000,Tone,203.5,88.5,023,NN,FM,5.00,,,,,,
58,KB6LED,147.975000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
59,K6LNK,146.850000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
60,K6BW,146.775000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
61,WD6INC,146.835000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
62,W6MTF,147.675000,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
63,KF6ALA,147.825000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
64,W6CX,147.060000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
65,KQ6YG,440.050000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
66,KR6WP,440.075000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
67,KM6EF,440.350000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
68,KK6AN,440.475000,+,5.000000,Tone,71.9,88.5,023,NN,FM,5.00,,,,,,
69,N3TC,440.525000,+,5.000000,Tone,225.7,88.5,023,NN,FM,5.00,,,,,,
70,W6RV,440.550000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
71,W6EBW,440.575000,+,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
